id,name,phylum_id
1,Actinopterygii,8
2,Adenophorea,27
3,Afrenulata,37
4,Amphibia,8
5,Amphineura,25
6,Anopla,29
7,Anthozoa,9
8,Aplacophora,25
9,Appendicularia,8
10,Arachnida,2
11,Archiacanthocephala,2
12,Ascidiacea,8
13,Asteroidea,14
14,Aves,8
15,Bivalvia,25
16,Branchiopoda,2
17,Bryozoa incertae sedis,5
18,Calcarea,38
19,Calcispongia,38
20,Calcispongiae,38
21,Caudofoveata,25
22,Cephalaspidomorphi,8
23,Cephalocarida,2
24,Cephalopoda,25
25,Cestoda,36
26,Chilopoda,2
27,Chromadorea,27
28,Cladistii,8
29,Clitellata,1
30,Cnidaria incertae sedis,9
31,Coelacanthi,8
32,Collembola,2
33,Conchifera,25
34,Craniata,4
35,Cricoconarida,25
36,Crinoidea,14
37,Ctenophora incertae sedis,11
38,Cubozoa,9
39,Demospongiae,38
40,Diplopoda,2
41,Dipneusti,8
42,Echinoidea,14
43,Elasmobranchii,8
44,Enopla,29
45,Enoplea,27
46,Enteropneusta,20
47,Eoacanthocephala,20
48,Eucycliophora,12
49,Eurotatoria,40
50,Eutardigrada,43
51,Frenulata,37
52,Gastropoda,25
53,Gephyrea,1
54,Gordiaces,28
55,Graptolithina,20
56,Graptolithoidea,20
57,Gymnolaemata,5
58,Heterotardigrada,43
59,Hexactinellida,38
60,Hexanauplia,2
61,Holocephali,8
62,Holothurioidea,14
63,Holothuroidea,14
64,Homoscleromorpha,38
65,Hoplonemertea,29
66,Hyalospongiae,38
67,Hydrozoa,9
68,Ichthyostraca,2
69,Insecta,2
70,Kinorhyncha,6
71,Lamellibranchiata,25
72,Larvacea,8
73,Leptocardii,8
74,Lingulata,4
75,Loricata,25
76,Loricifera,6
77,Machaeridia,1
78,Malacostraca,2
79,Mammalia,8
80,Maxillopoda,2
81,Merostomata,2
82,Mesotardigrada,43
83,Micrognathozoa,18
84,Mollusca incertae sedis,25
85,Monogenea,36
86,Monogenoidea,36
87,Monoplacophora,25
88,Myxini,8
89,Myxozoa,9
90,Nectonematoida,28
91,Nematoda incertae sedis,27
92,Nemertea incertae sedis,29
93,Nuda,11
94,Ophiuroidea,14
95,Osteichthyes,8
96,Ostracoda,2
97,Palaeacanthocephala,2
98,Palaeonemertea,29
99,Pararotatoria,40
100,Pauropoda,2
101,Pelecypoda,25
102,Petromyzonti,8
103,Phascolosomatidea,41
104,Phylactolaemata,5
105,Pilidiophora,29
106,Polyacanthocephala,29
107,Polychaeta,1
108,Polyplacophora,25
109,Polypodiozoa,9
110,Porifera incertae sedis,38
111,Priapulida,6
112,Pterobranchia,20
113,Pycnogonida,2
114,Remipedia,2
115,Reptilia,8
116,Rhombozoa,13
117,Rhynchonellata,4
118,Rostroconchia,25
119,Sagittoidea,7
120,Sarcopterygii,8
121,Scaphopoda,25
122,Scleroctenophora,11
123,Sclerospongiae,38
124,Scyphomedusae,9
125,Scyphozoa,9
126,Secernentea,27
127,Seisonidea,40
128,Sipuncula incertae sedis,41
129,Sipunculidea,41
130,Solenogastres,25
131,Sorberacea,8
132,Staurozoa,9
133,Stelleroidea,14
134,Stenolaemata,5
135,Symphyla,2
136,Tentaculata,11
137,Thaliacea,8
138,Trematoda,36
139,Trilobita,2
140,Turbellaria,36