id,name,kingdom_id
1,Annelida,1
2,Arthropoda,1
3,Aschelminthes,1
4,Brachiopoda,1
5,Bryozoa,1
6,Cephalorhyncha,1
7,Chaetognatha,1
8,Chordata,1
9,Cnidaria,1
10,Coelenterata,1
11,Ctenophora,1
12,Cycliophora,1
13,Dicyemida,1
14,Echinodermata,1
15,Ectoprocta,1
16,Entoprocta,1
17,Gastrotricha,1
18,Gnathifera,1
19,Gnathostomulida,1
20,Hemichordata,1
21,Kinorhyncha,1
22,Lophophorata,1
23,Loricifera,1
24,Mesozoa,1
25,Mollusca,1
26,Nemata,1
27,Nematoda,1
28,Nematomorpha,1
29,Nemertea,1
30,Nemertina,1
31,Nemertini,1
32,Orthonectida,1
33,Pentastomida,1
34,Phoronida,1
35,Placozoa,1
36,Platyhelminthes,1
37,Pogonophora,1
38,Porifera,1
39,Rhynchocoela,1
40,Rotifera,1
41,Sipuncula,1
42,Sipunculida,1
43,Tardigrada,1
44,Xenacoelomorpha,1